"Stock","Stock code","Current Price Rs","Market Capitalization in Cr","Latest financial result yyyymmdd","PE TTM Price to Earnings","Price to Book Value","Revenue QoQ Growth %","Net Profit QoQ Growth %","NSE Code","BSE Code","ISIN"
"Adani Green Energy Ltd.","ADANIGREEN","914.45","144851.85","2023-09-30","111","24.44","2.02","15.53","ADANIGREEN","541450","INE364U01010"
"Prestige Estates Projects Ltd.","PRESTIGE","905.7","36306.04","2023-09-30","21.18","3.54","33.05","218.81","PRESTIGE","533274","INE811K01011"
"Epigral Ltd.","EPIGRAL","902.15","3748.45","2023-09-30","16.78","3.51","5.11","20.6","EPIGRAL","543332","INE071N01016"
"Finolex Cables Ltd.","FINCABLES","901.35","13785.18","2023-09-30","21.41","3.15","-1.4","-3.9","FINCABLES","500144","INE235A01022"
"DCM Shriram Ltd.","DCMSHRIRAM","900.2","14037.93","2023-09-30","22.73","2.28","-2.6","-43.02","DCMSHRIRAM","523367","INE499A01024"
"Relaxo Footwears Ltd.","RELAXO","897.45","22340.99","2023-09-30","115.21","12.04","-3.18","-21.54","RELAXO","530517","INE131B01039"
"Global Health Ltd.","MEDANTA","896.25","24057.81","2023-09-30","58.84","9.91","9.17","22.69","MEDANTA","543654","INE474Q01031"
"Aether Industries Ltd.","AETHER","887.4","11762.51","2023-09-30","84.57","9.45","1.9","23.02","AETHER","543534","INE0BWX01014"
"KPR Mill Ltd.","KPRMILL","875.6","29929.23","2023-09-30","37.94","8.07","-6.2","-0.49","KPRMILL","532889","INE930H01031"
"Symphony Ltd.","SYMPHONY","872.8","6018.57","2023-09-30","52.79","6.83","-8.94","45.83","SYMPHONY","517385","INE225D01027"
"Sobha Ltd.","SOBHA","872.55","8275.78","2023-09-30","77.06","3.32","-18.36","23.99","SOBHA","532784","INE671H01015"
"Westlife Foodworld Ltd.","WESTLIFE","870.8","13578.92","2023-09-30","126.12","24","0.03","-22.41","WESTLIFE","505533","INE274F01020"
"Macrotech Developers Ltd.","LODHA","864.05","83328.42","2023-09-30","54.49","6.55","8.17","13.17","LODHA","543287","INE670K01029"
"Voltas Ltd.","VOLTAS","847.9","28055.71","2023-09-30","140.62","5.11","-31.76","-71.63","VOLTAS","500575","INE226A01021"
"Happiest Minds Technologies Ltd.","HAPPSTMNDS","845.1","12868.74","2023-09-30","55.46","15.35","4.03","0.22","HAPPSTMNDS","543227","INE419U01012"
"Medplus Health Services Ltd.","MEDPLUS","822.9","9821.49","2023-09-30","168.35","6.59","9.68","284.68","MEDPLUS","543427","INE804L01022"
"PB Fintech Ltd.","POLICYBZR","821.4","37015.15","2023-09-30","-289.39","6.75","21.94","-77.33","POLICYBZR","543390","INE417T01026"
"Tejas Networks Ltd.","TEJASNET","814.5","13840.16","2023-09-30","-225.85","4.75","110.74","51.92","TEJASNET","540595","INE010J01012"
"PNB Housing Finance Ltd.","PNBHOUSING","809","21004.58","2023-09-30","16.43","1.91","4.11","10.27","PNBHOUSING","540173","INE572E01012"
"Nazara Technologies Ltd.","NAZARA","802.2","5881.48","2023-09-30","97.98","4.47","16.83","1.59","NAZARA","543280","INE418L01021"
"Five-Star Business Finance Ltd.","FIVESTAR","800.45","23390.61","2023-09-30","33.27","5.39","8","8.54","FIVESTAR","543663","INE128S01021"
"Natco Pharma Ltd.","NATCOPHARM","799.6","14321.63","2023-09-30","12.7","2.94","-9.57","-12.21","NATCOPHARM","524816","INE987B01026"
"Great Eastern Shipping Company Ltd.","GESHIP","799.05","11407.81","2023-09-30","4.53","1.11","-4.26","3.19","GESHIP","500620","INE017A01032"
"Torrent Power Ltd.","TORNTPOWER","796.75","38293.14","2023-09-30","17.59","3.33","-5","1.67","TORNTPOWER","532779","INE813H01021"
"JK Lakshmi Cement Ltd.","JKLAKSHMI","792.05","9320.06","2023-09-30","26.07","3.28","-9","18.1","JKLAKSHMI","500380","INE786A01032"
"Adani Ports & Special Economic Zone Ltd.","ADANIPORTS","791.9","171061.4","2023-09-30","26.99","3.66","6.38","-17.35","ADANIPORTS","532921","INE742F01042"
"TTK Prestige Ltd.","TTKPRESTIG","781.1","10827.14","2023-09-30","48.27","5.58","24.14","23.43","TTKPRESTIG","517506","INE690A01028"
"UTI Asset Management Company Ltd.","UTIAMC","778.65","9889.42","2023-09-30","17.57","2.56","-13.62","-22.01","UTIAMC","543238","INE094J01016"
"Glenmark Pharmaceuticals Ltd.","GLENMARK","776.25","21903.31","2023-09-30","-111.59","2.23","-5.71","-453.3","GLENMARK","532296","INE935A01035"
"JSW Steel Ltd.","JSWSTEEL","768.45","187920.91","2023-09-30","20.31","3.49","5.62","18.05","JSWSTEEL","500228","INE019A01038"
"Can Fin Homes Ltd.","CANFINHOME","766.4","10204.93","2023-09-30","15.49","2.8","5.71","-13.83","CANFINHOME","511196","INE477A01020"
"Capri Global Capital Ltd.","CGCL","757.25","15610.92","2023-09-30","67.53","4.38","11.2","2.56","CGCL","531595","INE180C01026"
"Container Corporation of India Ltd.","CONCOR","749.2","45648.33","2023-09-30","38.48","4.03","14.15","49.6","CONCOR","531344","INE111A01025"
"Brigade Enterprises Ltd.","BRIGADE","738.65","17057.87","2023-09-30","57.21","5.57","108.97","246.48","BRIGADE","532929","INE791I01019"
"RHI Magnesita India Ltd.","RHIM","734.15","15160.3","2023-09-30","-30.19","5.09","6.35","52.49","RHIM","534076","INE743M01012"
"SBI Cards and Payment Services Ltd.","SBICARD","731.7","69499.79","2023-09-30","30.19","7.07","4.49","1.63","SBICARD","543066","INE018E01016"
"Alembic Pharmaceuticals Ltd.","APLLTD","728.4","14317.66","2023-09-30","26.93","3.28","7.32","13.23","APLLTD","533573","INE901L01018"
"Syngene International Ltd.","SYNGENE","727.75","29256.64","2023-09-30","58.71","8.09","12.62","24.73","SYNGENE","539268","INE398R01022"
"Adani Energy Solutions Ltd.","ADANIENSOL","726.95","81090.74","2023-09-30","61.66","6.36","0.27","57.59","ADANIENSOL","539254","INE931S01010"
"Gujarat Alkalies & Chemicals Ltd.","GUJALKALI","726.85","5337.76","2023-09-30","64.56","0.87","6.41","67.86","GUJALKALI","530001","INE186A01019"
"Au Small Finance Bank Ltd.","AUBANK","717.1","47927.83","2023-09-30","29.84","4.37","2.96","3.86","AUBANK","540611","INE949L01017"
"Just Dial Ltd.","JUSTDIAL","713.2","6064.23","2023-09-30","19.31","1.65","5.52","-13.93","JUSTDIAL","535648","INE599M01018"
"Rossari Biotech Ltd.","ROSSARI","711.3","3928.98","2023-09-30","33.63","4.29","17.74","12.76","ROSSARI","543213","INE02A801020"
"The Fertilisers and Chemicals Travancore Ltd.","FACT","701.6","45398.57","2023-09-30","89.29","35.64","34.94","46.55","FACT","590024","INE188A01015"
"Intellect Design Arena Ltd.","INTELLECT","701.55","9579.29","2023-09-30","30.26","4.63","-3.18","-24.64","INTELLECT","538835","INE306R01017"
"Indian Railway Catering & Tourism Corporation Ltd.","IRCTC","700","56000","2023-09-30","52.77","22.6","-0.65","26.9","IRCTC","542830","INE335Y01020"
"Gujarat Narmada Valley Fertilizers & Chemicals Ltd.","GNFC","691.45","10746.43","2023-09-30","11.53","1.18","25.91","106.82","GNFC","500670","INE113A01013"
"Prince Pipes & Fittings Ltd.","PRINCEPIPE","684.85","7571.78","2023-09-30","34.45","5.55","18.59","260.04","PRINCEPIPE","542907","INE689W01016"
"Tata Motors Ltd.","TATAMOTORS","681.2","226335.4","2023-09-30","14.76","4.3","2.83","17.52","TATAMOTORS","500570","INE155A01022"
"UNO Minda Ltd.","UNOMINDA","674.9","38684.2","2023-09-30","52.11","8.72","17.09","30.24","UNOMINDA","532539","INE405E01023"
"ICICI Securities Ltd.","ISEC","670.35","21663.02","2023-09-30","17.5","7.59","33.68","56.41","ISEC","541179","INE763G01038"
"HDFC Life Insurance Company Ltd.","HDFCLIFE","668.5","143750.98","2023-09-30","97.6","11.07","-0.98","-9.24","HDFCLIFE","540777","INE795G01014"
"Godrej Industries Ltd.","GODREJIND","667.8","22484.16","2023-09-30","25.55","1.57","-12.61","-50.97","GODREJIND","500164","INE233A01035"
"Shoppers Stop Ltd.","SHOPERSTOP","663.5","7294.13","2023-09-30","77.42","35.44","4.58","-81.16","SHOPERSTOP","532638","INE498B01024"
"Godawari Power & Ispat Ltd.","GPIL","663.4","9018.59","2023-09-30","11.48","2.1","-2.61","11.24","GPIL","532734","INE177H01021"
"Sun TV Network Ltd.","SUNTV","663.1","26131.75","2023-09-30","14.04","2.82","-22.29","-21.5","SUNTV","532733","INE424H01027"
"Jindal Steel & Power Ltd.","JINDALSTEL","651.6","66468.94","2023-09-30","16.39","1.7","-2.69","-17.73","JINDALSTEL","532286","INE749A01030"
"Amara Raja Energy & Mobility Ltd.","ARE&M","650.8","11116.48","2023-09-30","14.26","2.1","5.86","17.79","ARE&M","500008","INE885A01032"
"Zydus Lifesciences Ltd.","ZYDUSLIFE","642.05","64988.56","2023-09-30","23.15","3.3","-15","-26.33","ZYDUSLIFE","532321","INE010B01027"
"Kalpataru Projects International Ltd.","KPIL","641.1","10414.43","2023-09-30","21.79","2.22","6.53","-22.61","KPIL","522287","INE220B01022"
"CCL Products India Ltd.","CCL","635.45","8453.26","2023-09-30","30.2","5.7","-7.23","0.24","CCL","519600","INE421D01022"
"Century Plyboards (India) Ltd.","CENTURYPLY","634.9","14105.76","2023-09-30","37.05","7.39","11.88","11.43","CENTURYPLY","532548","INE348B01021"
"DLF Ltd.","DLF","632.55","156575.84","2023-09-30","69.93","4.15","-5.31","18.17","DLF","532868","INE271C01023"
"VIP Industries Ltd.","VIPIND","629.5","8934","2023-09-30","80.58","13.92","-14.15","-77","VIPIND","507880","INE054A01027"
"Glenmark Life Sciences Ltd.","GLS","625.3","7661.63","2023-09-30","15.16","3.58","2.92","-12.34","GLS","543322","INE03Q201024"
"Birlasoft Ltd.","BSOFT","624.8","17216.68","2023-09-30","45.5","7.03","3.73","5.48","BSOFT","532400","INE836A01035"
"Max Healthcare Institute Ltd.","MAXHEALTH","616.6","59922.79","2023-09-30","60.52","8.09","6.08","15.24","MAXHEALTH","543220","INE027H01010"
"Suven Pharmaceuticals Ltd.","SUVENPHAR","611.05","15555.19","2023-09-30","36.02","8.96","-33.52","-34.02","SUVENPHAR","543064","INE03QK01018"
"Vijaya Diagnostic Centre Ltd.","VIJAYA","609.7","6237.76","2023-09-30","60.34","11.41","14.71","27.17","VIJAYA","543350","INE043W01024"
"Life Insurance Corporation of India","LICI","608.75","385034.23","2023-09-30","9.82","8.31","6.66","-16.65","LICI","543526","INE0J1Y01017"
"Deepak Fertilisers & Petrochemicals Corporation Ltd.","DEEPAKFERT","600.7","7583.1","2023-09-30","11.24","1.46","4.81","-45.35","DEEPAKFERT","500645","INE501A01019"
"KEC International Ltd.","KEC","596.7","15340.46","2023-09-30","81.63","4.07","6.02","31.89","KEC","532714","INE389H01022"
"Chalet Hotels Ltd.","CHALET","582.2","11958.08","2023-09-30","44.84","8.04","1.21","-58.9","CHALET","542399","INE427F01016"
"IIFL Finance Ltd.","IIFL","580.3","22128.08","2023-09-30","13.09","2.17","7.38","11.49","IIFL","532636","INE530B01024"
"Praj Industries Ltd.","PRAJIND","579.85","10652.6","2023-09-30","39.25","9.88","19.77","6.33","PRAJIND","522205","INE074A01025"
"Sona BLW Precision Forgings Ltd.","SONACOMS","578.15","33905.13","2023-09-30","73.26","14.8","8.12","10.54","SONACOMS","543300","INE073K01018"
"Asahi India Glass Ltd.","ASAHIINDIA","575.3","13984.96","2023-09-30","40.71","6.81","2.84","-16.32","ASAHIINDIA","515030","INE439A01020"
"Berger Paints (India) Ltd.","BERGEPAINT","569.65","66404.5","2023-09-30","64.31","14.75","-8.66","-17.7","BERGEPAINT","509480","INE463A01038"
"UPL Ltd.","UPL","565.9","42476.88","2023-09-30","22.89","1.31","13.47","-213.86","UPL","512070","INE628A01036"
"Star Health and Allied Insurance Company Ltd.","STARHEALTH","561.6","32812.77","2023-09-30","45.23","6.03","5.1","-56.47","STARHEALTH","543412","INE575P01011"
"State Bank of India","SBIN","558.95","498841.18","2023-09-30","7.2","1.51","5.85","-7.23","SBIN","500112","INE062A01020"
"ICICI Prudential Life Insurance Company Ltd.","ICICIPRULI","558.05","80355.91","2023-09-30","88.61","7.99","-27.03","18.28","ICICIPRULI","540133","INE726G01019"
"Varroc Engineering Ltd.","VARROC","548.6","8381.86","2023-09-30","57.21","8.35","5.27","68.11","VARROC","541578","INE665L01035"
"Syrma SGS Technology Ltd.","SYRMA","545.55","9644.11","2023-09-30","72.85","6.25","18.36","-0.6","SYRMA","543573","INE0DYJ01015"
"Dabur India Ltd.","DABUR","541","95867.2","2023-09-30","54.6","10.15","2.34","11.03","DABUR","500096","INE016A01026"
"360 One Wam Ltd.","360ONE","540","19347.09","2023-09-30","27.77","6.19","-0.78","1.23","360ONE","542772","INE466L01038"
"Welspun Corp Ltd.","WELCORP","537.9","14075.06","2023-09-30","17.39","2.92","-0.24","132.58","WELCORP","532144","INE191B01025"
"Zensar Technologies Ltd.","ZENSARTECH","537.25","12169.87","2023-09-30","23.15","4.09","1.11","11.33","ZENSARTECH","504067","INE520A01027"
"Bikaji Foods International Ltd.","BIKAJI","535.1","13378.58","2023-09-30","77.06","14.05","26.27","46.92","BIKAJI","543653","INE00E101023"
"Marico Ltd.","MARICO","532.7","68914.35","2023-09-30","48.88","17.38","-0.04","-17.33","MARICO","531642","INE196A01026"
"Adani Total Gas Ltd.","ATGL","531.65","58471.4","2023-09-30","102.4","19.88","3.74","14.95","ATGL","542066","INE399L01023"
"Jubilant Foodworks Ltd.","JUBLFOOD","530.4","34998.19","2023-09-30","148.91","17.17","2.55","236.14","JUBLFOOD","533155","INE797F01020"
"Mahindra Lifespace Developers Ltd.","MAHLIFE","525.7","8146.63","2023-09-30","775.87","4.51","-81.87","-341.72","MAHLIFE","532313","INE813A01018"
"HLE Glascoat Ltd.","HLEGLAS","523.6","3574.38","2023-09-30","65.72","11.36","13.81","8","HLEGLAS","522215","INE461D01028"
"Aarti Industries Ltd.","AARTIIND","521.1","18890.08","2023-09-30","42.34","3.84","2.83","29.5","AARTIIND","524208","INE769A01020"
"KFIN Technologies Ltd.","KFINTECH","520.55","8869.84","2023-09-30","41.23","10.2","15.13","41.51","KFINTECH","543720","INE138Y01010"
"Elgi Equipments Ltd.","ELGIEQUIP","519.45","16461.84","2023-09-30","40.96","12.01","11.36","50.94","ELGIEQUIP","522074","INE285A01027"
"Archean Chemical Industries Ltd.","ACI","518.35","6383.55","2023-09-30","16.18","4.46","-15.34","-29.68","ACI","543657","INE128X01021"
"Jindal Stainless Ltd.","JSL","504.35","41529.92","2023-09-30","15.97","3.47","-3.8","3.82","JSL","532508","INE220G01021"
"Hindalco Industries Ltd.","HINDALCO","500.25","112417.01","2023-09-30","13.35","1.18","2.22","-10.51","HINDALCO","500440","INE038A01020"
"Emami Ltd.","EMAMILTD","492.5","21497.62","2023-09-30","30.81","9.3","4.75","29.61","EMAMILTD","531162","INE548C01032"
"EID Parry (India) Ltd.","EIDPARRY","491","8716.11","2023-09-30","8.8","0.91","28.93","315.46","EIDPARRY","500125","INE126A01031"
"Quess Corp Ltd.","QUESS","490.15","7274.8","2023-09-30","30.2","2.66","3.22","50.44","QUESS","539978","INE615P01015"
"CIE Automotive India Ltd.","CIEINDIA","486.95","18473.05","2023-09-30","61.91","3.62","-1.76","24.44","CIEINDIA","532756","INE536H01010"
"Aarti Drugs Ltd.","AARTIDRUGS","483.9","4448.73","2023-09-30","24.69","3.73","-2.96","-17.26","AARTIDRUGS","524348","INE767A01016"
"Rites Ltd.","RITES","471.4","11327.83","2023-09-30","23.21","4.17","6.98","-6.35","RITES","541556","INE320J01015"
"Graphite India Ltd.","GRAPHITE","471.4","9210.01","2023-09-30","10.76","1.86","6.16","2780","GRAPHITE","509488","INE371A01025"
"Sunteck Realty Ltd.","SUNTECK","469.6","6878.94","2023-09-30","-147.78","2.47","-64.67","-107","SUNTECK","512179","INE805D01034"
"CG Power and Industrial Solutions Ltd.","CGPOWER","469.35","71683.06","2023-09-30","65.17","40.01","6.8","18.94","CGPOWER","500093","INE067A01029"
"Latent View Analytics Ltd.","LATENTVIEW","462.9","9531.3","2023-09-30","62.07","7.89","5.42","3.55","LATENTVIEW","543398","INE0I7C01011"
"Balrampur Chini Mills Ltd.","BALRAMCHIN","461.6","9312.74","2023-09-30","17.23","3.22","10.78","126.18","BALRAMCHIN","500038","INE119A01028"
"Tata Motors Limited (DVR)","TATAMTRDVR","461.1","","","","","","","TATAMTRDVR","570001","IN9155A01020"
"LIC Housing Finance Ltd.","LICHSGFIN","456.5","25110.38","2023-09-30","6.03","","0.09","-9.51","LICHSGFIN","500253","INE115A01026"
"Jindal Saw Ltd.","JINDALSAW","455.45","14563.2","2023-09-30","12.82","2","23.95","42.79","JINDALSAW","500378","INE324A01024"
"Chemplast Sanmar Ltd.","CHEMPLASTS","450.4","7121.26","2023-09-30","201.74","26.54","-0.87","140.72","CHEMPLASTS","543336","INE488A01050"
"Shyam Metalics and Energy Ltd.","SHYAMMETL","447.95","11426.34","2023-09-30","10.88","1.51","-11.07","103.92","SHYAMMETL","543299","INE810G01011"
"Jyothy Labs Ltd.","JYOTHYLAB","441.45","16210.42","2023-09-30","49.59","10.45","6.58","8.16","JYOTHYLAB","532926","INE668F01031"
"ITC Ltd.","ITC","439.7","548436.65","2023-09-30","27.17","7.89","3.55","-4.05","ITC","500875","INE154A01025"
"Swan Energy Ltd.","SWANENERGY","431","11374.82","2023-09-30","36.88","3.05","52.09","-41.6","SWANENERGY","503310","INE665A01038"
"Vaibhav Global Ltd.","VAIBHAVGBL","429.05","7097.21","2023-09-30","58.49","5.9","7.1","-1.06","VAIBHAVGBL","532156","INE884A01027"
"Gujarat Gas Ltd.","GUJGASLTD","425.95","29321.98","2023-09-30","23.38","4.17","1.72","37.18","GUJGASLTD","539336","INE844O01030"
"Apollo Tyres Ltd.","APOLLOTYRE","420.85","26728.22","2023-09-30","16.8","2.08","0.56","19.49","APOLLOTYRE","500877","INE438A01022"
"Jubilant Pharmova Ltd.","JUBLPHARMA","420.65","6700.16","2023-09-30","-150.19","1.24","5.89","876.56","JUBLPHARMA","530019","INE700A01033"
"Vardhman Textiles Ltd.","VTL","419","12116.42","2023-09-30","22.78","1.4","3.41","-1.59","VTL","502986","INE825A01020"
"JSW Energy Ltd.","JSWENERGY","418.15","68772.11","2023-09-30","43.21","3.67","11.32","193.28","JSWENERGY","533148","INE121E01018"
"Indian Hotels Company Ltd.","INDHOTEL","417","59230.69","2023-09-30","53.83","6.85","-2.26","-24.96","INDHOTEL","500850","INE053A01029"
"Jubilant Ingrevia Ltd.","JUBLINGREA","416.15","6628.48","2023-09-30","25.6","2.48","-5.12","-0.17","JUBLINGREA","543271","INE0BY001018"
"Ambuja Cements Ltd.","AMBUJACEM","414.25","82255.35","2023-09-30","29.61","2.12","-14.79","-12.44","AMBUJACEM","500425","INE079A01024"
"Triveni Turbine Ltd.","TRITURBINE","414","13160.1","2023-09-30","56.47","17.29","3.02","5.73","TRITURBINE","533655","INE152M01016"
"Indian Bank","INDIANB","411.35","51231.22","2023-09-30","7.43","1.18","5.47","11.83","INDIANB","532814","INE562A01011"
"Sharda Cropchem Ltd.","SHARDACROP","410.9","3707.16","2023-09-30","19.41","1.66","-8.94","68.88","SHARDACROP","538666","INE221J01015"
"Borosil Renewables Ltd.","BORORENEW","410.4","5357.07","2023-09-30","167.05","5.68","13.3","401.07","BORORENEW","502219","INE666D01022"
"FDC Ltd.","FDC","410.35","6680.91","2023-09-30","26.6","3.37","-9.32","-36.46","FDC","531599","INE258B01022"
"Nippon Life India Asset Management Ltd.","NAM-INDIA","409.3","25617.01","2023-09-30","29","7.29","12.23","3.69","NAM-INDIA","540767","INE298J01013"
"Bharat Petroleum Corporation Ltd.","BPCL","402.1","87225.65","2023-09-30","3.17","1.63","-8.8","-22.55","BPCL","500547","INE029A01011"
"Wipro Ltd.","WIPRO","400.25","209021.5","2023-09-30","17.95","2.69","-1.38","-7.8","WIPRO","507685","INE075A01022"
"Avanti Feeds Ltd.","AVANTIFEED","395.1","5383.06","2023-09-30","16","2.26","-17.71","-30.22","AVANTIFEED","512573","INE871C01038"
"Canara Bank","CANBK","394.65","71594.65","2023-09-30","5.13","1.01","7.23","3.24","CANBK","532483","INE476A01014"
"Mahindra Holidays & Resorts India Ltd.","MHRIL","391.9","7913.35","2023-09-30","119.81","-15.24","6.67","11684.37","MHRIL","533088","INE998I01010"
"Indraprastha Gas Ltd.","IGL","389.5","27265.03","2023-09-30","15.09","3.44","1.51","5.88","IGL","532514","INE203G01027"
"Adani Power Ltd.","ADANIPOWER","387.2","149340.67","2023-09-30","7.25","9.1","18.04","-24.72","ADANIPOWER","533096","INE814H01011"
"Delhivery Ltd.","DELHIVERY","385.7","28327.2","2023-09-30","-51.81","3.09","0.62","-15.04","DELHIVERY","543529","INE148O01028"
"Sumitomo Chemical India Ltd.","SUMICHEM","384.5","19192.15","2023-09-30","52.19","8.06","24.75","132.57","SUMICHEM","542920","INE258G01013"
"Laurus Labs Ltd.","LAURUSLABS","374.45","20169.78","2023-09-30","54.84","4.98","3.61","48.69","LAURUSLABS","540222","INE947Q01028"
"JK Paper Ltd.","JKPAPER","374.25","6339.88","2023-09-30","5.19","1.53","4.15","-2.05","JKPAPER","532162","INE789E01012"
"CSB Bank Ltd.","CSBBANK","370.75","6431.99","2023-09-30","11.13","2.11","0.56","0.71","CSBBANK","542867","INE679A01013"
"Suprajit Engineering Ltd.","SUPRAJIT","370.35","5126.91","2023-09-30","34.9","4.19","4.29","4.96","SUPRAJIT","532509","INE399C01030"
"Saregama India Ltd.","SAREGAMA","370.3","7139.74","2023-09-30","36.92","5.31","5.52","10.63","SAREGAMA","532163","INE979A01025"
"Fortis Healthcare Ltd.","FORTIS","365.45","27589.94","2023-09-30","50.38","3.41","6.79","55.44","FORTIS","532843","INE061F01013"
"Granules India Ltd.","GRANULES","363.2","8802.83","2023-09-30","22.35","3.11","20.7","113.21","GRANULES","532482","INE101D01020"
"Triveni Engineering & Industries Ltd.","TRIVENI","362.75","7940.52","2023-09-30","18.28","2.98","35.01","-56.94","TRIVENI","532356","INE256C01024"
"Poonawalla Fincorp Ltd.","POONAWALLA","361.9","27818.92","2023-09-30","18.97","4.05","6.51","281.04","POONAWALLA","524000","INE511C01022"
"Gujarat Ambuja Exports Ltd.","GAEL","360.7","8272.12","2023-09-30","27.12","3.4","-4.08","16.74","GAEL","524226","INE036B01030"
"Nuvoco Vistas Corporation Ltd.","NUVOCO","351.45","12552.25","2023-09-30","88.55","1.42","-8.29","-89.42","NUVOCO","543334","INE118D01016"
"Rajesh Exports Ltd.","RAJESHEXPO","347.2","10251.43","2023-09-30","8.97","0.7","-55.58","-85.35","RAJESHEXPO","531500","INE343B01030"
"KRBL Ltd.","KRBL","345.9","7917.3","2023-09-30","11.79","1.69","-14.17","-21.25","KRBL","530813","INE001B01026"
"Minda Corporation Ltd.","MINDACORP","342.3","8183.69","2023-09-30","29.42","5.16","11.29","29.99","MINDACORP","538962","INE842C01021"
"Aster DM Healthcare Ltd.","ASTERDM","337.45","16856.07","2023-09-30","59.3","3.76","3.15","-728.37","ASTERDM","540975","INE914M01019"
"REC Ltd.","RECLTD","337.3","88818.65","2023-09-30","6.97","1.54","5.42","27.69","RECLTD","532955","INE020B01018"
"Kalyan Jewellers India Ltd.","KALYANKJIL","333.15","34316.22","2023-09-30","68.92","9.44","0.89","-6.01","KALYANKJIL","543278","INE303R01014"
"Coal India Ltd.","COALINDIA","332.15","204695.02","2023-09-30","7.3","3.53","-8.91","-14.69","COALINDIA","533278","INE522F01014"
"Aegis Logistics Ltd.","AEGISCHEM","328.75","11539.12","2023-09-30","22.67","2.85","-41.21","9.65","AEGISCHEM","500003","INE208C01025"
"Usha Martin Ltd.","USHAMART","328.3","10004.68","2023-09-30","25.05","4.93","-3.64","8.68","USHAMART","517146","INE228A01035"
"PNC Infratech Ltd.","PNCINFRA","325.9","8360.61","2023-09-30","13.61","1.95","-8.62","-18.11","PNCINFRA","539150","INE195J01029"
"Power Finance Corporation Ltd.","PFC","319.95","105586.76","2023-09-30","5.88","0.94","6.66","5.61","PFC","532810","INE134E01011"
"Kansai Nerolac Paints Ltd.","KANSAINER","316.3","25569.05","2023-09-30","22.85","5.61","-9.29","-76","KANSAINER","500165","INE531A01024"
"Sterling and Wilson Renewable Energy Ltd.","SWSOLAR","314.8","5973.3","2023-09-30","-8.94","-24.86","47.49","43.18","SWSOLAR","542760","INE00M201021"
"Adani Wilmar Ltd.","AWL","314.35","40855.4","2023-09-30","313.98","5","-5.11","-65.65","AWL","543458","INE699H01024"
"Chambal Fertilisers & Chemicals Ltd.","CHAMBLFERT","312.25","12996.09","2023-09-30","11.42","1.84","-3.65","12.5","CHAMBLFERT","500085","INE085A01013"
"Hindustan Petroleum Corporation Ltd.","HINDPETRO","305.5","43336.65","2023-09-30","2.6","1.34","-14.57","-13.87","HINDPETRO","500104","INE094A01015"
"Oil India Ltd.","OIL","303.65","32927.96","2023-09-30","5.61","0.79","42.01","-70.51","OIL","533106","INE274J01014"
"Hindustan Zinc Ltd.","HINDZINC","299.55","126569.43","2023-09-30","15.01","9.78","-6.74","-11.97","HINDZINC","500188","INE267A01025"
"KNR Constructions Ltd.","KNRCON","293.45","8252.83","2023-09-30","15.35","3.01","5.85","7.49","KNRCON","532942","INE634I01029"
"Crompton Greaves Consumer Electricals Ltd.","CROMPTON","289.15","18510.58","2023-09-30","42.85","5.96","-5.04","-17.85","CROMPTON","539876","INE299U01018"
"Aptus Value Housing Finance India Ltd.","APTUS","287.6","14349.05","2023-09-30","26.04","4.3","9.15","4.05","APTUS","543335","INE852O01025"
"V-Guard Industries Ltd.","VGUARD","287.6","12472.56","2023-09-30","57.96","7.77","-6.67","-8.21","VGUARD","532953","INE951I01027"
"Exide Industries Ltd.","EXIDEIND","283.1","24063.5","2023-09-30","27.57","2.16","2.97","20.21","EXIDEIND","500086","INE302A01020"
"Mahindra & Mahindra Financial Services Ltd.","M&MFIN","274.55","33921.47","2023-09-30","17.11","1.81","6.98","-21.63","M&MFIN","532720","INE774D01024"
"ITI Ltd.","ITI","273.55","26285.06","2023-09-30","-67.67","11.59","56.94","-22.57","ITI","523610","INE248A01017"
"Gujarat State Petronet Ltd.","GSPL","273.45","15428.36","2023-09-30","10.14","1.22","3.77","35.69","GSPL","532702","INE246F01010"
"Allcargo Logistics Ltd.","ALLCARGO","270.55","6647.29","2023-09-30","18.37","2.13","1.09","-82.18","ALLCARGO","532749","INE418H01029"
"General Insurance Corporation of India","GICRE","268.8","47158.27","2023-09-30","7.11","1.04","17.1","72.75","GICRE","540755","INE481Y01014"
"Laxmi Organic Industries Ltd.","LXCHEM","268.05","7376.8","2023-09-30","73.34","5.22","-11.08","-72.05","LXCHEM","543277","INE576O01020"
"Campus Activewear Ltd.","CAMPUS","268","8180.86","2023-09-30","79.38","14.82","-26.88","-98.98","CAMPUS","543523","INE278Y01022"
"BLS International Services Ltd.","BLS","265.7","10939.96","2023-09-30","40.89","13.07","6.32","14.27","BLS","540073","INE153T01027"
"Tata Power Company Ltd.","TATAPOWER","262.1","83749.85","2023-09-30","23.45","2.45","3.45","-9.97","TATAPOWER","500400","INE245A01021"
"NTPC Ltd.","NTPC","253.65","245955.94","2023-09-30","12.86","1.63","4.43","-5.31","NTPC","532555","INE733E01010"
"MRF Ltd.","MRF","111197.75","47160.08","2023-09-30","27.89","3.21","-3.47","-0.35","MRF","500290","INE883A01011"
"Page Industries Ltd.","PAGEIND","37771.5","42129.95","2023-09-30","82.49","30.73","-9.27","-5.1","PAGEIND","532827","INE761H01022"
