"Stock","Stock code","Current Price Rs","Market Capitalization in Cr","Latest financial result yyyymmdd","PE TTM Price to Earnings","Price to Book Value","Revenue QoQ Growth %","Net Profit QoQ Growth %","NSE Code","BSE Code","ISIN"
"Cholamandalam Investment & Finance Company Ltd.","CHOLAFIN","1120.95","94110.61","2023-09-30","31.13","6.56","13.24","8.86","CHOLAFIN","511243","INE121A01024"
"Bharat Forge Ltd.","BHARATFORG","1096.75","51063.43","2023-09-30","65.15","7.58","-2.66","1.71","BHARATFORG","500493","INE465A01025"
"Bharat Dynamics Ltd.","BDL","1090.65","19989.56","2023-09-30","46.99","6.22","106.84","251.76","BDL","541143","INE171Z01018"
"Ipca Laboratories Ltd.","IPCALAB","1090.3","27661.37","2023-09-30","56.19","4.68","28.12","-10.91","IPCALAB","524494","INE571A01038"
"Cochin Shipyard Ltd.","COCHINSHIP","1078.15","14182.03","2023-09-30","32.99","3.2","112.61","84","COCHINSHIP","540678","INE704P01017"
"Affle (India) Ltd.","AFFLE","1067.4","14225.36","2023-09-30","53.81","9.69","6.08","0.92","AFFLE","542752","INE00WC01027"
"Cholamandalam Financial Holdings Ltd.","CHOLAHLDNG","1067.3","20041.49","2023-09-30","13.08","1.23","11.98","13.32","CHOLAHLDNG","504973","INE149A01033"
"G R Infraprojects Ltd.","GRINFRA","1066.85","10315.27","2023-09-30","8.32","1.65","-24.03","-29.91","GRINFRA","543317","INE201P01022"
"United Spirits Ltd.","MCDOWELL-N","1056.1","76815.53","2023-09-30","67.8","12.81","15.98","-28.82","MCDOWELL-N","532432","INE854D01024"
"Aurobindo Pharma Ltd.","AUROPHARMA","1055.75","61860.47","2023-09-30","26.6","2.3","5.38","32.66","AUROPHARMA","524804","INE406A01037"
"Varun Beverages Ltd.","VBL","1031.35","133994.54","2023-09-30","67.04","25.69","-31.02","-49.58","VBL","540180","INE200M01021"
"Mahanagar Gas Ltd.","MGL","1023.4","10108.92","2023-09-30","8.81","2.45","2.29","-8.12","MGL","539957","INE002S01010"
"Polyplex Corporation Ltd.","POLYPLEX","1020.4","3203.29","2023-09-30","45.06","0.57","0.74","995.19","POLYPLEX","524051","INE633B01018"
"Godrej Consumer Products Ltd.","GODREJCP","1008.6","103161.66","2023-09-30","58.95","7.48","4.44","35.74","GODREJCP","532424","INE102D01028"
"Axis Bank Ltd.","AXISBANK","998.1","307663.87","2023-09-30","23.45","2.37","4.46","1.85","AXISBANK","532215","INE238A01034"
